title,date,notes,bunting
New Year’s Day,2017-01-02,Substitute day,true
Good Friday,2017-04-14,"",false
Easter Monday,2017-04-17,"",true
Early May bank holiday,2017-05-01,"",true
Spring bank holiday,2017-05-29,"",true
Summer bank holiday,2017-08-28,"",true
Christmas Day,2017-12-25,"",true
Boxing Day,2017-12-26,"",true
New Year’s Day,2018-01-01,"",true
Good Friday,2018-03-30,"",false
Easter Monday,2018-04-02,"",true
Early May bank holiday,2018-05-07,"",true
Spring bank holiday,2018-05-28,"",true
Summer bank holiday,2018-08-27,"",true
Christmas Day,2018-12-25,"",true
Boxing Day,2018-12-26,"",true
New Year’s Day,2019-01-01,"",true
Good Friday,2019-04-19,"",false
Easter Monday,2019-04-22,"",true
Early May bank holiday,2019-05-06,"",true
Spring bank holiday,2019-05-27,"",true
Summer bank holiday,2019-08-26,"",true
Christmas Day,2019-12-25,"",true
Boxing Day,2019-12-26,"",true
New Year’s Day,2020-01-01,"",true
Good Friday,2020-04-10,"",false
Easter Monday,2020-04-13,"",false
Early May bank holiday (VE day),2020-05-08,"",true
Spring bank holiday,2020-05-25,"",true
Summer bank holiday,2020-08-31,"",true
Christmas Day,2020-12-25,"",true
Boxing Day,2020-12-28,Substitute day,true
New Year’s Day,2021-01-01,"",true
Good Friday,2021-04-02,"",false
Easter Monday,2021-04-05,"",true
Early May bank holiday,2021-05-03,"",true
Spring bank holiday,2021-05-31,"",true
Summer bank holiday,2021-08-30,"",true
Christmas Day,2021-12-27,Substitute day,true
Boxing Day,2021-12-28,Substitute day,true
New Year’s Day,2022-01-03,Substitute day,true
Good Friday,2022-04-15,"",false
Easter Monday,2022-04-18,"",true
Early May bank holiday,2022-05-02,"",true
Spring bank holiday,2022-06-02,"",true
Platinum Jubilee bank holiday,2022-06-03,"",true
Summer bank holiday,2022-08-29,"",true
Boxing Day,2022-12-26,"",true
Christmas Day,2022-12-27,Substitute day,true
New Year’s Day,2023-01-02,Substitute day,true
Good Friday,2023-04-07,"",false
Easter Monday,2023-04-10,"",true
Early May bank holiday,2023-05-01,"",true
Spring bank holiday,2023-05-29,"",true
Summer bank holiday,2023-08-28,"",true
Christmas Day,2023-12-25,"",true
Boxing Day,2023-12-26,"",true
New Year’s Day,2024-01-01,"",true
Good Friday,2024-03-29,"",false
Easter Monday,2024-04-01,"",true
Early May bank holiday,2024-05-06,"",true
Spring bank holiday,2024-05-27,"",true
Summer bank holiday,2024-08-26,"",true
Christmas Day,2024-12-25,"",true
Boxing Day,2024-12-26,"",true
New Year’s Day,2025-01-01,"",true
Good Friday,2025-04-18,"",false
Easter Monday,2025-04-21,"",true
Early May bank holiday,2025-05-05,"",true
Spring bank holiday,2025-05-26,"",true
Summer bank holiday,2025-08-25,"",true
Christmas Day,2025-12-25,"",true
Boxing Day,2025-12-26,"",true
New Year’s Day,2026-01-01,"",true
Good Friday,2026-04-03,"",false
Easter Monday,2026-04-06,"",true
Early May bank holiday,2026-05-04,"",true
Spring bank holiday,2026-05-25,"",true
Summer bank holiday,2026-08-31,"",true
Christmas Day,2026-12-25,"",true
Boxing Day,2026-12-28,Substitute day,true
New Year’s Day,2027-01-01,"",true
Good Friday,2027-03-26,"",false
Easter Monday,2027-03-29,"",true
Early May bank holiday,2027-05-03,"",true
Spring bank holiday,2027-05-31,"",true
Summer bank holiday,2027-08-30,"",true
Christmas Day,2027-12-27,Substitute day,true
Boxing Day,2027-12-28,Substitute day,true
