code,name,lot_number,central_government
WPSLS.1.1,Property and construction,1,yes
WPSLS.1.2,Social housing,1,no
WPSLS.1.3,Child law,1,no
WPSLS.1.4,Court of protection,1,no
WPSLS.1.5,Education,1,no
WPSLS.1.6,Debt recovery,1,no
WPSLS.1.7,Planning and environment,1,no
WPSLS.1.8,Licensing,1,no
WPSLS.1.9,Pensions,1,no
WPSLS.1.10,Litigation / dispute resolution,1,yes
WPSLS.1.11,Intellectual property,1,no
WPSLS.1.12,Employment,1,no
WPSLS.1.13,Healthcare,1,no
WPSLS.1.14,Primary care,1,no
WPSLS.2a.1,Administrative and public law,2a,no
WPSLS.2a.2,Banking and Finance,2a,no
WPSLS.2a.3,Contracts,2a,no
WPSLS.2a.4,Competition law,2a,no
WPSLS.2a.5,Corporate and M&A,2a,no
WPSLS.2a.6,Data protection and information law,2a,no
WPSLS.2a.7,Employment,2a,no
WPSLS.2a.8,Information technology,2a,no
WPSLS.2a.9,Infrastructure,2a,no
WPSLS.2a.10,Intellectual property,2a,no
WPSLS.2a.11,Litigation and dispute resolution,2a,no
WPSLS.2a.12,Outsourcing / insourcing,2a,no
WPSLS.2a.13,Partnerships,2a,no
WPSLS.2a.14,Pensions,2a,no
WPSLS.2a.15,Public procurement,2a,no
WPSLS.2a.16,"Property, real estate & construction",2a,no
WPSLS.2a.17,Tax,2a,no
WPSLS.2a.18,EU,2a,no
WPSLS.2a.19,Planning,2a,no
WPSLS.2a.20,Projects,2a,no
WPSLS.2a.21,Restructuring and insolvency,2a,no
WPSLS.2a.22,Education law,2a,no
WPSLS.2a.23,Child law,2a,no
WPSLS.2a.24,Energy and natural resources,2a,no
WPSLS.2a.25,"Food, rural and environmental affairs",2a,no
WPSLS.2a.26,Franchise law,2a,no
WPSLS.2a.27,Health and healthcare,2a,no
WPSLS.2a.28,Life sciences,2a,no
WPSLS.2a.29,Telecommunications,2a,no
WPSLS.2a.30,"The law of international trade, investment and regulation",2a,no
WPSLS.2a.31,Public international law,2a,no
WPSLS.2a.32,Charities law,2a,no
WPSLS.2a.33,Health & safety law,2a,no
WPSLS.2a.34,Licensing law,2a,no
WPSLS.2a.35,Transport law (excluding rail),2a,no
WPSLS.2b.1,Administrative and public law,2b,no
WPSLS.2b.2,Banking and Finance,2b,no
WPSLS.2b.3,Contracts,2b,no
WPSLS.2b.4,Competition law,2b,no
WPSLS.2b.5,Corporate and M&A,2b,no
WPSLS.2b.6,Data protection and information law,2b,no
WPSLS.2b.7,Employment,2b,no
WPSLS.2b.8,Information technology,2b,no
WPSLS.2b.9,Infrastructure,2b,no
WPSLS.2b.10,Intellectual property,2b,no
WPSLS.2b.11,Litigation and dispute resolution,2b,no
WPSLS.2b.12,Outsourcing / insourcing,2b,no
WPSLS.2b.13,Partnerships,2b,no
WPSLS.2b.14,Pensions,2b,no
WPSLS.2b.15,Public procurement,2b,no
WPSLS.2b.16,"Property, real estate & construction",2b,no
WPSLS.2b.17,Tax,2b,no
WPSLS.2b.18,EU,2b,no
WPSLS.2b.19,Planning,2b,no
WPSLS.2b.20,Projects,2b,no
WPSLS.2b.21,Restructuring and insolvency,2b,no
WPSLS.2b.22,Education law,2b,no
WPSLS.2b.23,Child law,2b,no
WPSLS.2b.24,Energy and natural resources,2b,no
WPSLS.2b.25,"Food, rural and environmental affairs",2b,no
WPSLS.2b.26,Franchise law,2b,no
WPSLS.2b.27,Health and healthcare,2b,no
WPSLS.2b.28,Life sciences,2b,no
WPSLS.2b.29,Telecommunications,2b,no
WPSLS.2b.30,"The law of international trade, investment and regulation",2b,no
WPSLS.2b.31,Public international law,2b,no
WPSLS.2b.32,Charities law,2b,no
WPSLS.2b.33,Health & safety law,2b,no
WPSLS.2b.34,Licensing law,2b,no
WPSLS.2b.35,Transport law (excluding rail),2b,no
WPSLS.2c.1,Administrative and public law,2c,no
WPSLS.2c.2,Banking and Finance,2c,no
WPSLS.2c.3,Contracts,2c,no
WPSLS.2c.4,Competition law,2c,no
WPSLS.2c.5,Corporate and M&A,2c,no
WPSLS.2c.6,Data protection and information law,2c,no
WPSLS.2c.7,Employment,2c,no
WPSLS.2c.8,Information technology,2c,no
WPSLS.2c.9,Infrastructure,2c,no
WPSLS.2c.10,Intellectual property,2c,no
WPSLS.2c.11,Litigation and dispute resolution,2c,no
WPSLS.2c.12,Outsourcing / insourcing,2c,no
WPSLS.2c.13,Partnerships,2c,no
WPSLS.2c.14,Pensions,2c,no
WPSLS.2c.15,Public procurement,2c,no
WPSLS.2c.16,"Property, real estate & construction",2c,no
WPSLS.2c.17,Tax,2c,no
WPSLS.2c.18,EU,2c,no
WPSLS.2c.19,Planning,2c,no
WPSLS.2c.20,Projects,2c,no
WPSLS.2c.21,Restructuring and insolvency,2c,no
WPSLS.2c.22,Education law,2c,no
WPSLS.2c.23,Child law,2c,no
WPSLS.2c.24,Energy and natural resources,2c,no
WPSLS.2c.25,"Food, rural and environmental affairs",2c,no
WPSLS.2c.26,Franchise law,2c,no
WPSLS.2c.27,Health and healthcare,2c,no
WPSLS.2c.28,Life sciences,2c,no
WPSLS.2c.29,Telecommunications,2c,no
WPSLS.2c.30,"The law of international trade, investment and regulation",2c,no
WPSLS.2c.31,Public international law,2c,no
WPSLS.2c.32,Charities law,2c,no
WPSLS.2c.33,Health & safety law,2c,no
WPSLS.2c.34,Licensing law,2c,no
WPSLS.2c.35,Transport law (excluding rail),2c,no
WPSLS.3.1,All Services,3,no
WPSLS.4.1,All Services,4,no
