"code","description","role"
"qt","Qualified teacher: non-SEN roles","true"
"qt_sen","Qualified teacher: SEN roles","true"
"uqt","Unqualified teacher: non-SEN roles","true"
"uqt_sen","Unqualified teacher: SEN roles","true"
"support","Educational support staff: non-SEN roles (including cover supervisor and teaching assistant)","true"
"support_sen","Educational support staff: SEN roles (including cover supervisor and teaching assistant)","true"
"senior","Headteacher and senior leadership positions","true"
"admin","Administrative and clerical staff, IT staff, finance staff and cleaners","true"
"nominated","A specific person","false"
"fixed_term","Employed directly","false"
"daily_fee","Neutral vendor managed service provider fee (per day)","false"
